Year,Tree Cover Loss (ha),Gross CO2 Emissions (Mg)
2001,959.6953,279192.2
2002,710.9869,202929.2
2003,634.0346,190358.7
2004,590.723,168284.2
2005,762.8336,227844.7
2006,688.1277,202187.1
2007,763.3703,235447
2008,738.5677,223106.2
2009,1260.761,403946.7
2010,630.1027,194234.1
2011,728.9452,226481.8
2012,1421.85,427817
2013,2418.519,628835
2014,1085.502,293203.7
2015,879.0746,247379.1
2016,1467.186,433526.9
2017,2987.456,903179
2018,2112.767,633773.2
2019,1123.785,338072.4
2020,1278.253,390138
2021,1174.767,386184.2
2022,1555.492,516873.8
2023,1441.595,492181
